,Symbol,CIK
889,CAPR,1133869
890,CAPX,
891,CAR,723612
892,CARA,1346830
893,CARB,1340127
894,CARO,
895,CART,
896,CARV,1016178
897,CARZ,
898,CASC,
899,CASH,907471
900,CASI,1070602
901,CASM,764579
902,CASS,708781
903,CASY,726958
904,CAT,18230
905,CATB,1454789
906,CATH,
907,CATM,1277856
908,CATO,18255
909,CATY,861842
910,CATYW,
911,CAVM,1175609
912,CAW,721447
913,CB,20171
914,CBAK,1117171
915,CBAN,711669
916,CBAY,
917,CBB,716133
918,CBD,
919,CBF,1479750
920,CBFV,
921,CBG,1138118
922,CBI,1027884
923,CBIO,
924,CBK,883943
925,CBL,910612
926,CBLI,1318641
927,CBM,840081
928,CBMG,1378624
929,CBMX,1383183
930,CBMXW,
931,CBO,
932,CBOE,1374310
933,CBPO,1369868
934,CBPX,1592480
935,CBR,918581
936,CBRL,1067294
937,CBS,813828
938,CBSH,22356
939,CBSHP,
940,CBT,16040
941,CBU,723188
942,CBX,
943,CBZ,1062780
944,CC,1627223
945,CCA,1092896
946,CCBG,726601
947,CCC,812701
948,CCCL,
949,CCCR,1556266
950,CCD,
951,CCE,1491675
952,CCF,830524
953,CCFI,1528061
954,CCI,1051470
955,CCIH,1498576
956,CCJ,
957,CCK,1219601
958,CCL,815097
959,CCLP,
960,CCM,1472072
961,CCMP,1102934
962,CCN,
963,CCNE,736772
964,CCNWW,
965,CCO,1334978
966,CCOI,1158324
967,CCP,1639947
968,CCRC,1620664
969,CCRN,1141103
970,CCS,
971,CCU,739708
972,CCUR,749038
973,CCV,
974,CCXI,1340652
975,CCZ,
976,CDC,
977,CDE,215466
978,CDEV,
979,CDEVW,
980,CDI,18396
981,CDK,
982,CDL,1174527
983,CDNA,1217234
984,CDNS,813672
985,CDOR,
986,CDR,761648
987,CDTI,949428
988,CDTX,
989,CDW,1402057
990,CDXC,1386570
991,CDXS,1200375
992,CDZI,727273
993,CE,1306830
994,CEA,
995,CEB,
996,CECE,3197
997,CECO,1046568
998,CEE,860489
999,CEF,
1000,CEL,
1001,CELG,816284
1002,CELGZ,
1003,CELP,1587246
1004,CEM,1488775
1005,CEMI,
1006,CEMP,1461993
1007,CEN,1576340
1008,CENT,887733
1009,CENTA,
1010,CENX,949157
1011,CEO,
1012,CEQP,1136352
1013,CERC,
1014,CERCW,
1015,CERCZ,
1016,CERN,804753
1017,CERS,1020214
1018,CERU,1401914
1019,CET,18748
1020,CETC,
1021,CETV,925645
1022,CETX,
1023,CEV,1074692
1024,CEVA,1173489
1025,CEZ,
1026,CF,1324404
1027,CFA,
1028,CFBK,
1029,CFCB,
1030,CFCO,
1031,CFCOU,
1032,CFCOW,
1033,CFD,1345801
1034,CFFI,913341
1035,CFFN,1490906
1036,CFG,759944
1037,CFI,723603
1038,CFMS,1305773
1039,CFNB,803016
1040,CFNL,1060523
1041,CFO,
1042,CFR,39263
1043,CFRX,
1044,CFRXW,
1045,CFX,1420800
1046,CG,1527166
1047,CGA,
1048,CGEN,1119774
1049,CGG,
1050,CGI,865941
1051,CGIX,1349929
1052,CGNT,
1053,CGNX,851205
1054,CGO,1285650
1055,CH,846676
1056,CHA,
1057,CHCI,1299969
1058,CHCO,726854
1059,CHCT,1631569
1060,CHD,313927
1061,CHDN,20212
1062,CHE,19584
1063,CHEF,1517175
1064,CHEK,1610590
1065,CHEKW,
1066,CHFC,19612
1067,CHFN,1478726
1068,CHGG,1364954
1069,CHH,1046311
1070,CHI,1171471
1071,CHK,895126
1072,CHKE,844161
1073,CHKP,1015922
1074,CHKR,1524769
1075,CHL,
1076,CHMA,1339469
1077,CHMG,763563
1078,CHMI,1571776
1079,CHMT,1091862
1080,CHN,845379
1081,CHNR,
1082,CHRS,19353
1083,CHRW,1043277
1084,CHS,897429
1085,CHSCL,
1086,CHSCM,
1087,CHSCN,
1088,CHSCO,
1089,CHSCP,823277
1090,CHSP,1473078
1091,CHT,
1092,CHTR,1091667
1093,CHU,
1094,CHUBA,
1095,CHUBK,
1096,CHUY,1524931
1097,CHW,1396277
1098,CHY,1222719
1099,CI,701221
1100,CIA,24090
1101,CIB,
1102,CIBR,
