,Symbol,Name,Sector,industry,Exchange,CIK
4035,UGI,UGI Corporation,Public Utilities,Natural Gas Distribution,NYSE,884614
4036,UHAL,Amerco,Consumer Services,Rental/Leasing Companies,NASDAQ,4457
4037,UHS,"Universal Health Services, Inc.",Health Care,Hospital/Nursing Management,NYSE,352915
4038,UHT,Universal Health Realty Income Trust,Consumer Services,Real Estate Investment Trusts,NYSE,798783
4039,UIHC,United Insurance Holdings Corp.,Finance,Property-Casualty Insurers,NASDAQ,1401521
4040,UIS,Unisys Corporation,Technology,EDP Services,NYSE,746838
4041,ULBI,Ultralife Corporation,Miscellaneous,Industrial Machinery/Components,NASDAQ,875657
4042,ULTA,"Ulta Salon, Cosmetics & Fragrance, Inc.",Consumer Services,Other Specialty Stores,NASDAQ,1403568
4043,ULTI,"The Ultimate Software Group, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ,1016125
4044,UMBF,UMB Financial Corporation,Finance,Major Banks,NASDAQ,101382
4045,UMH,"UMH Properties, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE,752642
4046,UMPQ,Umpqua Holdings Corporation,Finance,Savings Institutions,NASDAQ,1077771
4047,UNAM,Unico American Corporation,Finance,Property-Casualty Insurers,NASDAQ,100716
4048,UNB,"Union Bankshares, Inc.",Finance,Major Banks,NASDAQ,706863
4049,UNF,Unifirst Corporation,Consumer Services,Other Consumer Services,NYSE,717954
4050,UNFI,"United Natural Foods, Inc.",Consumer Non-Durables,Food Distributors,NASDAQ,1020859
4051,UNH,UnitedHealth Group Incorporated,Health Care,Medical Specialities,NYSE,731766
4052,UNIS,Unilife Corporation,Health Care,Medical/Dental Instruments,NASDAQ,1476170
4053,UNM,Unum Group,Finance,Accident &Health Insurance,NYSE,5513
